song_id,artist_name,song_name,popularity,energy,valence,danceability,explicit,loudness,duration_ms
Bruno Mars - Talking to the Moon,Bruno Mars,Talking to the Moon,84,0.59,0.0784,0.498,0,-4.721,217866
Bruno Mars - That's What I Like,Bruno Mars,That's What I Like,88,0.56,0.86,0.853,0,-4.961,206693
Bruno Mars - The Lazy Song,Bruno Mars,The Lazy Song,73,0.711,0.955,0.794,0,-5.124,189109
Bruno Mars - When I Was Your Man,Bruno Mars,When I Was Your Man,88,0.28,0.387,0.612,0,-8.648,213826
Bryan Adams - (Everything I Do) I Do It For You,Bryan Adams,(Everything I Do) I Do It For You,65,0.365,0.253,0.526,0,-12.605,394133
"Bryan Adams - Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams,"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",70,0.478,0.358,0.57,0,-10.185,291666
Bryan Adams - Heaven,Bryan Adams,Heaven,79,0.589,0.335,0.382,0,-7.315,243360
Bryan Adams - It's Only Love,Bryan Adams,It's Only Love,61,0.805,0.743,0.515,0,-4.491,194618
Bryan Adams - Run To You,Bryan Adams,Run To You,73,0.811,0.635,0.561,0,-6.157,233270
Bryan Adams - Straight From The Heart,Bryan Adams,Straight From The Heart,67,0.237,0.366,0.587,0,-18.466,211933
Bryan Adams - Summer Of '69,Bryan Adams,Summer Of '69,84,0.834,0.774,0.508,0,-6.205,216053
Bryan Adams - When You're Gone,Bryan Adams,When You're Gone,70,0.931,0.643,0.546,0,-6.344,204893
Carpenters - (They Long To Be) Close To You,Carpenters,(They Long To Be) Close To You,64,0.312,0.309,0.542,0,-8.895,220706
Carpenters - I Won't Last A Day Without You,Carpenters,I Won't Last A Day Without You,67,0.221,0.459,0.453,0,-13.192,232533
Carpenters - Love Me For What I Am,Carpenters,Love Me For What I Am,63,0.181,0.265,0.362,0,-15.216,210266
Carpenters - Please Mr. Postman,Carpenters,Please Mr. Postman,66,0.547,0.964,0.664,0,-11.594,172733
Carpenters - Rainy Days And Mondays,Carpenters,Rainy Days And Mondays,63,0.441,0.309,0.466,0,-5.508,216746
Carpenters - Superstar,Carpenters,Superstar,60,0.447,0.0968,0.363,0,-5.582,231293
Carpenters - There's A Kind Of Hush,Carpenters,There's A Kind Of Hush,50,0.403,0.9,0.729,0,-13.801,177426
Carpenters - Top Of The World,Carpenters,Top Of The World,68,0.644,0.714,0.425,0,-6.054,179120
Carpenters - We've Only Just Begun,Carpenters,We've Only Just Begun,57,0.321,0.301,0.41,0,-11.771,185160
Carpenters - Yesterday Once More,Carpenters,Yesterday Once More,68,0.483,0.159,0.278,0,-6.912,236760
Cher - After All (Love Theme From Chances Are),Cher,After All (Love Theme From Chances Are),67,0.335,0.163,0.517,0,-13.104,244360
Cher - Believe,Cher,Believe,78,0.916,0.458,0.653,0,-6.72,239026
Cher - Fernando,Cher,Fernando,47,0.663,0.569,0.404,0,-5.574,237093
"Cher - Gypsys, Tramps & Thieves",Cher,"Gypsys, Tramps & Thieves",57,0.677,0.691,0.476,0,-11.175,158000
Cher - If I Could Turn Back Time,Cher,If I Could Turn Back Time,75,0.575,0.504,0.658,0,-10.365,239826
Cher - Just Like Jesse James,Cher,Just Like Jesse James,61,0.563,0.442,0.4,0,-10.233,245733
Cher - Strong Enough,Cher,Strong Enough,67,0.923,0.585,0.589,0,-6.19,224000
Cher - The Shoop Shoop Song (It's In His Kiss),Cher,The Shoop Shoop Song (It's In His Kiss),70,0.61,0.919,0.678,0,-10.509,170000
Cher - Walking in Memphis,Cher,Walking in Memphis,46,0.679,0.527,0.696,0,-7.363,235493
Chicago - 25 or 6 to 4 - 2002 Remaster,Chicago,25 or 6 to 4 - 2002 Remaster,66,0.905,0.723,0.604,0,-7.059,289800
"Chicago - Baby, What a Big Surprise - Edit",Chicago,"Baby, What a Big Surprise - Edit",54,0.451,0.396,0.42,0,-4.351,183666
Chicago - Hard Habit to Break - 2006 Remaster,Chicago,Hard Habit to Break - 2006 Remaster,58,0.612,0.402,0.584,0,-5.833,283733
Chicago - Hard to Say I'm Sorry / Get Away - 2006 Remaster,Chicago,Hard to Say I'm Sorry / Get Away - 2006 Remaster,71,0.57,0.234,0.398,0,-7.068,304213
Chicago - If You Leave Me Now,Chicago,If You Leave Me Now,77,0.563,0.275,0.434,0,-6.784,235373
Chicago - Look Away - 2009 Remaster,Chicago,Look Away - 2009 Remaster,53,0.545,0.201,0.553,0,-7.278,242960
Chicago - Saturday in the Park - 2002 Remaster,Chicago,Saturday in the Park - 2002 Remaster,63,0.763,0.61,0.67,0,-6.864,235666
Chicago - Will You Still Love Me? - Alternate,Chicago,Will You Still Love Me? - Alternate,57,0.601,0.348,0.482,0,-6.808,253280
Chicago - You're the Inspiration - 2006 Remaster,Chicago,You're the Inspiration - 2006 Remaster,75,0.602,0.388,0.583,0,-6.364,229240
Chris Brown - Angel Numbers / Ten Toes,Chris Brown,Angel Numbers / Ten Toes,84,0.5,0.0905,0.406,1,-8.452,306847
Chris Brown - Go Crazy,Chris Brown,Go Crazy,75,0.578,0.581,0.755,1,-8.932,176960
Chris Brown - Loyal (feat. Lil Wayne & Tyga),Chris Brown,Loyal (feat. Lil Wayne & Tyga),76,0.522,0.616,0.841,1,-5.963,264946
Chris Brown - No Guidance (feat. Drake),Chris Brown,No Guidance (feat. Drake),78,0.454,0.136,0.696,1,-6.756,260640
Chris Brown - Sensational (feat. Davido & Lojay),Chris Brown,Sensational (feat. Davido & Lojay),73,0.609,0.797,0.774,1,-7.077,231109
Chris Brown - Under The Influence,Chris Brown,Under The Influence,85,0.69,0.31,0.733,1,-5.529,184613
Chris Brown - With You,Chris Brown,With You,77,0.693,0.655,0.662,0,-4.298,252120
